num_aset,period,Asset list,asset bobot,sharpe ratio,cvar
3,1_week,"['ADA', 'BTC', 'ETH']","[0.29, 0.7, 0.01]",-0.00882454289172968,0.2679123610091191
3,1_week,"['ADA', 'BTC', 'LTC']","[0.5276, 0.01, 0.4624]",-0.011174968863894907,0.3495874086325506
3,1_week,"['ADA', 'BTC', 'MATIC']","[0.7, 0.01, 0.29]",-0.007863723817612973,0.40616034168405085
3,1_week,"['ADA', 'BTC', 'SOL']","[0.7, 0.01, 0.29]",-0.009970528161418524,0.41713039470386226
3,1_week,"['ADA', 'BTC', 'XRP']","[0.7, 0.01, 0.29]",-0.018504383233332474,0.4512772485758994
3,1_week,"['ADA', 'DOGE', 'DOT']","[0.7, 0.29, 0.01]",0.004556505281047524,0.4399844530252161
3,1_week,"['ADA', 'DOGE', 'ETH']","[0.7, 0.29, 0.01]",0.004595550599134501,0.4397292880756973
3,1_week,"['ADA', 'DOGE', 'LTC']","[0.7, 0.29, 0.01]",0.004547721952787201,0.43964146116725333
3,1_week,"['ADA', 'DOGE', 'MATIC']","[0.7, 0.29, 0.01]",0.004514581921664007,0.43996563433278857
3,1_week,"['ADA', 'DOGE', 'SOL']","[0.01, 0.7, 0.29]",0.008322275478677754,0.40977976656521764
3,1_week,"['ADA', 'DOGE', 'XRP']","[0.01, 0.7, 0.29]",-0.0005041223841418483,0.42095236822830073
3,1_week,"['ADA', 'DOT', 'ETH']","[0.29, 0.01, 0.7]",-0.013244637556141064,0.2962704000435378
3,1_week,"['ADA', 'DOT', 'LTC']","[0.29, 0.7, 0.01]",-0.016572077739782313,0.3171514570199733
3,1_week,"['ADA', 'DOT', 'MATIC']","[0.29, 0.7, 0.01]",-0.016589328229435273,0.3176647501114134
3,1_week,"['ADA', 'DOT', 'SOL']","[0.29, 0.7, 0.01]",-0.016702936509916548,0.3174381313437715
3,1_week,"['ADA', 'DOT', 'XRP']","[0.7, 0.01, 0.29]",-0.01856738387578808,0.45183475599462647
3,1_week,"['ADA', 'ETH', 'LTC']","[0.29, 0.7, 0.01]",-0.01328008103804646,0.2960385415265032
3,1_week,"['ADA', 'ETH', 'MATIC']","[0.29, 0.7, 0.01]",-0.013308608962017111,0.29645245060934433
3,1_week,"['ADA', 'ETH', 'SOL']","[0.29, 0.7, 0.01]",-0.01341189477079025,0.29673258786735807
3,1_week,"['ADA', 'ETH', 'XRP']","[0.7, 0.01, 0.29]",-0.018541523334861247,0.4516500362637191
3,1_week,"['ADA', 'LTC', 'MATIC']","[0.29, 0.7, 0.01]",-0.01869556356796419,0.3048086696854387
3,1_week,"['ADA', 'LTC', 'SOL']","[0.29, 0.7, 0.01]",-0.018803130825178375,0.30466583584391244
3,1_week,"['ADA', 'LTC', 'XRP']","[0.7, 0.01, 0.29]",-0.018591469805923144,0.4515669543236362
3,1_week,"['ADA', 'MATIC', 'SOL']","[0.29, 0.7, 0.01]",-0.02042263359901718,0.3237196642502419
3,1_week,"['ADA', 'MATIC', 'XRP']","[0.7, 0.01, 0.29]",-0.018608377806990345,0.45181015523339046
3,1_week,"['ADA', 'SOL', 'XRP']","[0.29, 0.7, 0.01]",-0.024914980742571292,0.36147547672349034
3,1_week,"['BNB', 'BTC', 'DOGE']","[0.01, 0.29, 0.7]",0.015142824401101233,0.3809773593385069
3,1_week,"['BNB', 'BTC', 'DOT']","[0.29, 0.7, 0.01]",-0.0017940046139229126,0.20043231974282968
3,1_week,"['BNB', 'BTC', 'ETH']","[0.29, 0.7, 0.01]",-0.0017073632437078635,0.20043769130961686
3,1_week,"['BNB', 'BTC', 'LTC']","[0.29, 0.7, 0.01]",-0.001825100472701094,0.20015120746519124
3,1_week,"['BNB', 'BTC', 'MATIC']","[0.29, 0.7, 0.01]",-0.0018896065982573094,0.20050463433108728
3,1_week,"['BNB', 'BTC', 'SOL']","[0.7, 0.01, 0.29]",0.0012211949615608126,0.2223348519601776
3,1_week,"['BNB', 'BTC', 'XRP']","[0.7, 0.01, 0.29]",-0.013210747565866434,0.24080310964488613
3,1_week,"['BNB', 'DOGE', 'DOT']","[0.01, 0.7, 0.29]",0.012470056387795322,0.39390926243538843
3,1_week,"['BNB', 'DOGE', 'ETH']","[0.01, 0.7, 0.29]",0.013714975527612305,0.3842799091670338
3,1_week,"['BNB', 'DOGE', 'LTC']","[0.01, 0.7, 0.29]",0.012271985505663689,0.38488992869852423
3,1_week,"['BNB', 'DOGE', 'MATIC']","[0.01, 0.7, 0.29]",0.01110939807511437,0.3958746356827434
3,1_week,"['BNB', 'DOGE', 'SOL']","[0.01, 0.7, 0.29]",0.008484957454771735,0.40768823992728115
3,1_week,"['BNB', 'DOGE', 'XRP']","[0.29, 0.7, 0.01]",0.01904208491646813,0.3671344984820418
3,1_week,"['BNB', 'DOT', 'ETH']","[0.29, 0.01, 0.7]",-0.008075007105968484,0.22252762835763062
